"Participant" "elogPred" "elogUnpred"
"P204Task2" -0.334834324370475 -0.423464565595471
"P205Task2" -0.060354319499987 0.226122858651087
"P206Task1" 2.07469317188919 2.87256768409029
"P207Task1" 1.1577215254785 1.1213591543172
"P208Task1" 1.76230833725573 0.942548334072948
"P209Task2" 3.23934547686856 2.53780302626425
"P20Task1" 1.34372683865224 -0.371989434556284
"P210Task2" 0.3255465932892 -1.53517075589993
"P211Task2" -0.135767463555889 -0.262790805563705
"P212Task1" -0.918251268687012 0.362892674431396
"P213Task1" 0.340357559826109 0.256540116863451
"P214Task1" -0.31781105277595 0.407624805195433
"P215Task2" -0.191535088105586 -0.80253110132994
"P216Task2" 2.30913205422377 1.36058387408835
"P217Task2" -1.78061596206388 -2.60288625307036
"P21Task1" 1.43589631932376 -0.853308843940018
