"PartCode";"Value";"Participant";"Age";"BPVS"
178;0.945624372411368;"P59Task2";40;35
179;0.538040245302169;"P61Task1bis";56;61
180;1.73793525030524;"P62Task1";46;55
181;-0.581736768904065;"P64Task2";33;32
182;-2.56700064010112;"P65Task2";27;21
183;-4.15973298968122;"P66Task2";27;22
184;1.79068807677262;"P67Task1";60;68
185;-2.13693006031691;"P68Task1";49;38
186;1.45021568105453;"P69Task1";33;21
187;-1.45427908864114;"P70Task2";40;43
188;-5.01892659053938;"P71Task2";40;33
189;1.83624633546441;"P72Task2";38;52
190;0.482539820729617;"P73Task1";60;48
191;3.27552206394268;"P74Task1";54;40
192;-0.154282869258482;"P75Task1";32;30
193;-2.2180549847258;"P76Task2";36;35
194;-3.41565784156055;"P77Task2";36;27
195;1.4900460069391;"P78Task2";48;45
196;-4.77909702653567;"P79Task1";56;63
197;-0.582698635756033;"P80Task1";44;50
198;-0.356658514991715;"P81Task1";44;44
199;-2.31710286056581;"P82";38;34
200;-3.635660413321;"P83";42;49
201;2.32950090014034;"P84";40;39
202;2.73954056033584;"P86Task1";47;48
203;-1.5555309029337;"P87Task1";47;47
204;-1.34376975801668;"P88Task2";47;52
205;1.86393418625443;"P89Task2";48;54
206;1.54189418536667;"P90Task2";44;47
207;0.839864513023937;"P91Task1";48;58
208;-0.867807373529154;"P92Task1";44;58
209;-2.82071116468477;"P93Task1";60;43
210;-1.04485604110642;"P94Task2";50;65
211;-1.15900587838815;"P95Task2";44;31
212;3.07016743003687;"P96Task2";39;32
213;-2.78950488055706;"P97Task1";38;41
214;2.2502250328743;"P98Task1";49;50
215;-3.93709722752731;"P99Task1";37;35
