"Participant" "rawPred" "rawUnpred"
"P204Task2" -0.135582010582011 -0.0877425044091711
"P205Task2" 0.12962962962963 0.166666666666667
"P206Task1" 0.337654320987654 0.598148148148148
"P207Task1" 0.296682098765432 0.244984567901235
"P208Task1" 0.437345679012346 0.217901234567901
"P209Task2" 0.667791005291005 0.4994708994709
"P20Task1" 0.3 -0.0458333333333334
"P210Task2" 0.144003527336861 -0.183333333333333
"P211Task2" 0.0266754850088183 -0.0483245149911816
"P212Task1" -0.17283950617284 0.0833333333333333
"P213Task1" -0.00297619047619049 -0.0228174603174603
"P214Task1" -0.0749559082892416 0.0582010582010582
"P215Task2" -0.041005291005291 -0.191798941798942
"P216Task2" 0.429464285714286 0.226289682539683
"P217Task2" -0.215586419753086 -0.370679012345679
"P21Task1" 0.35 -0.116666666666667
