"Participant" "Pred" "UnPred"
"P204Task2" -0.143333280361428 -0.361516363885108
"P205Task2" -0.0898892421423977 0.0867699345781819
"P206Task1" 1.44255031547906 2.08835346468357
"P207Task1" 1.0059694093282 0.782914094933565
"P208Task1" 1.60736074631581 0.687985650335145
"P209Task2" 2.6591582013096 1.97937141741847
"P20Task1" 1.1611977526902 -0.248022599148971
"P210Task2" 0.358936940252656 -1.33910421182921
"P211Task2" -0.0708440799130987 -0.0932252525615745
"P212Task1" -0.89047497251583 0.31467799156708
"P213Task1" -0.0375400858798105 -0.174215516656569
"P214Task1" -0.253507272673329 0.496391059657539
"P215Task2" 0.171729381518418 -0.525627005630024
"P216Task2" 1.94393694522578 0.975913792553066
"P217Task2" -1.40545811533596 -2.31484274228005
"P21Task1" 1.25229509000028 -0.927248832063116
