"Participant" "Bias" "Named" "AGEYEAR" "DiscardTrial"
"257" "P126Task2" "FLAT" "A" "Three" 0
"258" "P126Task2" "FLAT" "B" "Three" 0
"259" "P126Task2" "FLAT" "C" "Three" 0
"260" "P127Task1" "ABC" "A" "Three" 0
"261" "P127Task1" "ABC" "B" "Three" 0
"262" "P127Task1" "CBA" "B" "Three" 0
"263" "P127Task1" "CBA" "C" "Three" 0
"264" "P127Task1" "FLAT" "A" "Three" 0
"265" "P127Task1" "FLAT" "B" "Three" 0
"266" "P127Task1" "FLAT" "C" "Three" 0
"267" "P129Task1" "ABC" "A" "Two" 0
"268" "P129Task1" "ABC" "B" "Two" 0
"269" "P129Task1" "CBA" "B" "Two" 0
"270" "P129Task1" "CBA" "C" "Two" 0
"271" "P129Task1" "FLAT" "A" "Two" 0
"272" "P129Task1" "FLAT" "B" "Two" 0
"273" "P129Task1" "FLAT" "C" "Two" 0
"274" "P12Task2" "ABC" "A" "Two" 0
"275" "P12Task2" "ABC" "B" "Two" 0
"276" "P12Task2" "CBA" "B" "Two" 0
"277" "P12Task2" "CBA" "C" "Two" 0
"278" "P12Task2" "FLAT" "A" "Two" 0
"279" "P12Task2" "FLAT" "B" "Two" 0
"280" "P12Task2" "FLAT" "C" "Two" 0.333333333333333
"281" "P130Task2" "ABC" "A" "Four-Five" 0
"282" "P130Task2" "ABC" "B" "Four-Five" 0
"283" "P130Task2" "CBA" "B" "Four-Five" 0
"284" "P130Task2" "CBA" "C" "Four-Five" 0
"285" "P130Task2" "FLAT" "A" "Four-Five" 0
"286" "P130Task2" "FLAT" "B" "Four-Five" 0
"287" "P130Task2" "FLAT" "C" "Four-Five" 0
"288" "P131Task2" "ABC" "A" "Four-Five" 0
"289" "P131Task2" "ABC" "B" "Four-Five" 0
"290" "P131Task2" "CBA" "B" "Four-Five" 0
"291" "P131Task2" "CBA" "C" "Four-Five" 0
"292" "P131Task2" "FLAT" "A" "Four-Five" 0
"293" "P131Task2" "FLAT" "B" "Four-Five" 0
"294" "P131Task2" "FLAT" "C" "Four-Five" 0
"295" "P132Task2" "ABC" "A" "Four-Five" 0
"296" "P132Task2" "ABC" "B" "Four-Five" 0
"297" "P132Task2" "CBA" "B" "Four-Five" 0
"298" "P132Task2" "CBA" "C" "Four-Five" 0
"299" "P132Task2" "FLAT" "A" "Four-Five" 0
"300" "P132Task2" "FLAT" "B" "Four-Five" 0
"301" "P132Task2" "FLAT" "C" "Four-Five" 0
"302" "P133Task1" "ABC" "A" "Two" 0.5
"303" "P133Task1" "ABC" "B" "Two" 0.4
"304" "P133Task1" "CBA" "B" "Two" 0
"305" "P133Task1" "CBA" "C" "Two" 0.25
"306" "P133Task1" "FLAT" "A" "Two" 0.333333333333333
"307" "P133Task1" "FLAT" "B" "Two" 0.333333333333333
"308" "P133Task1" "FLAT" "C" "Two" 0
"309" "P134Task1" "ABC" "A" "Two" 0.75
"310" "P134Task1" "ABC" "B" "Two" 0.2
"311" "P134Task1" "CBA" "B" "Two" 0
"312" "P134Task1" "CBA" "C" "Two" 0.2
"313" "P134Task1" "FLAT" "A" "Two" 0.333333333333333
"314" "P134Task1" "FLAT" "B" "Two" 0
"315" "P134Task1" "FLAT" "C" "Two" 0.5
"316" "P135Task1" "ABC" "A" "Two" 0
"317" "P135Task1" "ABC" "B" "Two" 0
"318" "P135Task1" "CBA" "B" "Two" 0
"319" "P135Task1" "CBA" "C" "Two" 0
"320" "P135Task1" "FLAT" "A" "Two" 0
"321" "P135Task1" "FLAT" "B" "Two" 0
"322" "P135Task1" "FLAT" "C" "Two" 0
"323" "P136Task2" "ABC" "A" "Four-Five" 0.166666666666667
"324" "P136Task2" "ABC" "B" "Four-Five" 0
"325" "P136Task2" "CBA" "B" "Four-Five" 0
"326" "P136Task2" "CBA" "C" "Four-Five" 0
"327" "P136Task2" "FLAT" "A" "Four-Five" 0
"328" "P136Task2" "FLAT" "B" "Four-Five" 0.2
"329" "P136Task2" "FLAT" "C" "Four-Five" 0
"330" "P137Task2" "ABC" "A" "Four-Five" 0.2
"331" "P137Task2" "ABC" "B" "Four-Five" 0
"332" "P137Task2" "CBA" "B" "Four-Five" 0.333333333333333
"333" "P137Task2" "CBA" "C" "Four-Five" 0
"334" "P137Task2" "FLAT" "A" "Four-Five" 0
"335" "P137Task2" "FLAT" "B" "Four-Five" 0
"336" "P137Task2" "FLAT" "C" "Four-Five" 0
"337" "P138Task2" "ABC" "A" "Four-Five" 0
"338" "P138Task2" "ABC" "B" "Four-Five" 0
"339" "P138Task2" "CBA" "B" "Four-Five" 0
"340" "P138Task2" "CBA" "C" "Four-Five" 0
"341" "P138Task2" "FLAT" "A" "Four-Five" 0
"342" "P138Task2" "FLAT" "B" "Four-Five" 0
"343" "P138Task2" "FLAT" "C" "Four-Five" 0
"344" "P139Task1" "ABC" "A" "Two" 0
"345" "P139Task1" "ABC" "B" "Two" 0
"346" "P139Task1" "CBA" "B" "Two" 0
"347" "P139Task1" "CBA" "C" "Two" 0
"348" "P139Task1" "FLAT" "A" "Two" 0
"349" "P139Task1" "FLAT" "B" "Two" 0
"350" "P139Task1" "FLAT" "C" "Two" 0
"351" "P140Task1" "ABC" "A" "Two" 0
"352" "P140Task1" "ABC" "B" "Two" 0.2
"353" "P140Task1" "CBA" "B" "Two" 0
"354" "P140Task1" "CBA" "C" "Two" 0
"355" "P140Task1" "FLAT" "A" "Two" 0
"356" "P140Task1" "FLAT" "B" "Two" 0.4
"357" "P140Task1" "FLAT" "C" "Two" 0
"358" "P141Task1" "ABC" "A" "Two" 0
"359" "P141Task1" "ABC" "B" "Two" 0
"360" "P141Task1" "CBA" "B" "Two" 0
"361" "P141Task1" "CBA" "C" "Two" 0
"362" "P141Task1" "FLAT" "A" "Two" 0
"363" "P141Task1" "FLAT" "B" "Two" 0
"364" "P141Task1" "FLAT" "C" "Two" 0
"365" "P142Task2" "ABC" "A" "Four-Five" 0
"366" "P142Task2" "ABC" "B" "Four-Five" 0
"367" "P142Task2" "CBA" "B" "Four-Five" 0
"368" "P142Task2" "CBA" "C" "Four-Five" 0
"369" "P142Task2" "FLAT" "A" "Four-Five" 0
"370" "P142Task2" "FLAT" "B" "Four-Five" 0
"371" "P142Task2" "FLAT" "C" "Four-Five" 0
"372" "P143Task2" "ABC" "A" "Two" 0.333333333333333
"373" "P143Task2" "ABC" "B" "Two" 0.333333333333333
"374" "P143Task2" "CBA" "B" "Two" 0.333333333333333
"375" "P143Task2" "CBA" "C" "Two" 0
"376" "P143Task2" "FLAT" "A" "Two" 0
"377" "P143Task2" "FLAT" "B" "Two" 0
"378" "P143Task2" "FLAT" "C" "Two" 0.333333333333333
"379" "P144Task2" "ABC" "A" "Four-Five" 0.2
"380" "P144Task2" "ABC" "B" "Four-Five" 0
"381" "P144Task2" "CBA" "B" "Four-Five" 0
"382" "P144Task2" "CBA" "C" "Four-Five" 0
"383" "P144Task2" "FLAT" "A" "Four-Five" 0
"384" "P144Task2" "FLAT" "B" "Four-Five" 0
"385" "P144Task2" "FLAT" "C" "Four-Five" 0
"386" "P145Task1" "ABC" "A" "Two" 0
"387" "P145Task1" "ABC" "B" "Two" 0
"388" "P145Task1" "CBA" "B" "Two" 0
"389" "P145Task1" "CBA" "C" "Two" 0
"390" "P145Task1" "FLAT" "A" "Two" 0
"391" "P145Task1" "FLAT" "B" "Two" 0
"392" "P145Task1" "FLAT" "C" "Two" 0
"393" "P146Task1" "ABC" "A" "Two" 0
"394" "P146Task1" "ABC" "B" "Two" 0
"395" "P146Task1" "CBA" "B" "Two" 0
"396" "P146Task1" "CBA" "C" "Two" 0
"397" "P146Task1" "FLAT" "A" "Two" 0
"398" "P146Task1" "FLAT" "B" "Two" 0
"399" "P146Task1" "FLAT" "C" "Two" 0
"400" "P147Task1" "ABC" "A" "Two" 0
"401" "P147Task1" "ABC" "B" "Two" 0
"402" "P147Task1" "CBA" "B" "Two" 0
"403" "P147Task1" "CBA" "C" "Two" 0
"404" "P147Task1" "FLAT" "A" "Two" 0
"405" "P147Task1" "FLAT" "B" "Two" 0
"406" "P147Task1" "FLAT" "C" "Two" 0
"407" "P148Task2" "ABC" "A" "Two" 0.166666666666667
"408" "P148Task2" "ABC" "B" "Two" 0
"409" "P148Task2" "CBA" "B" "Two" 0.2
"410" "P148Task2" "CBA" "C" "Two" 0.333333333333333
"411" "P148Task2" "FLAT" "A" "Two" 0
"412" "P148Task2" "FLAT" "B" "Two" 0
"413" "P148Task2" "FLAT" "C" "Two" 0
"414" "P149Task2" "ABC" "A" "Two" 0
"415" "P149Task2" "ABC" "B" "Two" 0
"416" "P149Task2" "CBA" "B" "Two" 0
"417" "P149Task2" "CBA" "C" "Two" 0
"418" "P149Task2" "FLAT" "A" "Two" 0
"419" "P149Task2" "FLAT" "B" "Two" 0
"420" "P149Task2" "FLAT" "C" "Two" 0
"421" "P14Task1" "ABC" "A" "Three" 0
"422" "P14Task1" "ABC" "B" "Three" 0
"423" "P14Task1" "CBA" "B" "Three" 0
"424" "P14Task1" "CBA" "C" "Three" 0
"425" "P14Task1" "FLAT" "A" "Three" 0.333333333333333
"426" "P14Task1" "FLAT" "B" "Three" 0
"427" "P14Task1" "FLAT" "C" "Three" 0
"428" "P150Task2" "ABC" "A" "Two" 0
"429" "P150Task2" "ABC" "B" "Two" 0
"430" "P150Task2" "CBA" "B" "Two" 0
"431" "P150Task2" "CBA" "C" "Two" 0
"432" "P150Task2" "FLAT" "A" "Two" 0
"433" "P150Task2" "FLAT" "B" "Two" 0
"434" "P150Task2" "FLAT" "C" "Two" 0
"435" "P151Task1" "ABC" "A" "Two" 0
"436" "P151Task1" "ABC" "B" "Two" 0
"437" "P151Task1" "CBA" "B" "Two" 0
"438" "P151Task1" "CBA" "C" "Two" 0.25
"439" "P151Task1" "FLAT" "A" "Two" 0
"440" "P151Task1" "FLAT" "B" "Two" 0.2
"441" "P151Task1" "FLAT" "C" "Two" 0
"442" "P152Task1" "ABC" "A" "Two" 0
"443" "P152Task1" "ABC" "B" "Two" 0
"444" "P152Task1" "CBA" "B" "Two" 0
"445" "P152Task1" "CBA" "C" "Two" 0
"446" "P152Task1" "FLAT" "A" "Two" 0
"447" "P152Task1" "FLAT" "B" "Two" 0.25
"448" "P152Task1" "FLAT" "C" "Two" 0
"449" "P153Task1" "ABC" "A" "Three" 0
"450" "P153Task1" "ABC" "B" "Three" 0
"451" "P153Task1" "CBA" "B" "Three" 0
"452" "P153Task1" "CBA" "C" "Three" 0
"453" "P153Task1" "FLAT" "A" "Three" 0
"454" "P153Task1" "FLAT" "B" "Three" 0
"455" "P153Task1" "FLAT" "C" "Three" 0
"456" "P154Task2" "ABC" "A" "Two" 0.75
"457" "P154Task2" "ABC" "B" "Two" 0
"458" "P154Task2" "CBA" "B" "Two" 1
"459" "P154Task2" "CBA" "C" "Two" 0.333333333333333
"460" "P154Task2" "FLAT" "A" "Two" 0
